Gene "ID_REF"	"GSM243346"	"GSM243347"	"GSM243348"	"GSM243349"	"GSM243350"	"GSM243351"
54161 "1415670_at"	820.5	851.5	810.3	802.4	767.1	794.8
11972 "1415671_at"	912.6	785.3	735.6	766.8	823.5	880.2
57437 "1415672_at"	1885.4	1889.5	1819.3	1897.1	1953.9	1924.2
100678 "1415673_at"	250.9	289.1	301.3	274.3	282.6	312.3
60409 "1415674_a_at"	472.4	572.9	526.7	555.6	541.1	598.1
13481 "1415675_at"	322	386.4	365.5	356.1	367.1	371.6
19173 "1415676_a_at"	1863.6	2005.7	1816.9	1693.7	1647.4	1848.1
52585 "1415677_at"	192	267.1	160.5	239	215.3	208.9
19042 "1415678_at"	459.7	539.6	486.9	540.7	553.3	545.6
66340 "1415679_at"	1134.3	1351.3	1433.6	1401.1	1265.8	1265.5
17222 "1415680_at"	645.9	640.2	646	647.1	539.5	607.8
94067 "1415681_at"	723.9	758.8	699.2	720.9	674.7	722.4
65246 "1415682_at"	344.6	317.2	276.7	278.4	282.8	324.1
18107 "1415683_at"	814	1002.9	910.8	916.1	867.2	935.7
11793 "1415684_at"	231.4	231.5	208.8	205.2	235.1	237.8
76784 "1415685_at"	292.1	319.2	304.9	475.5	433.2	474.2
68365 "1415686_at"	826.4	720.3	642.4	610.5	694.8	622.1
19156 "1415687_a_at"	1130.9	898.9	928.1	921.4	1020.1	1003
67128 "1415688_at"	1125.6	1330.6	1331.9	1234.9	1266.5	1362.6
72739 "1415689_s_at"	370.9	282.5	268.9	246.2	266.6	235.9
94064 "1415690_at"	1048	1163.1	991.8	1031	1057	1116.7
13383 "1415691_at"	598.9	547.5	509.7	513.5	487.7	525.3
12330 "1415692_s_at"	2532	3055.4	2853.6	2512	2657.6	2615.2
67819 "1415693_at"	302.8	218.3	197.6	246.4	213	211.2
22375 "1415694_at"	222.8	313.2	274	292.2	279.5	258.5
26440 "1415695_at"	2159.3	2845	2596.3	2732.3	2605.6	2679.5
20224 "1415696_at"	1105.8	1110.7	970.4	1042	1017.2	1082.8
23881 "1415697_at"	655.5	761	726.2	803.5	755	824
105348 "1415698_at"	584.7	533.3	406.2	395.1	510.2	504.7
209318 "1415699_a_at"	1077.1	1307.1	1201.4	1224	1135.9	1257.2
67437 "1415700_a_at"	2165	2201.4	2032.1	2071	1945.7	2157.5
65019 "1415701_x_at"	9004.7	9172.2	8204.4	8550.3	8446.2	8327.2
13016 "1415702_a_at"	2261.6	2265.6	1921.9	2048.3	2065.8	2261.8
59026 "1415703_at"	1019.2	1033.7	1004.4	866.9	817.1	762.5
321022 "1415704_a_at"	2445.6	2489.9	2162.7	1954.9	2094.8	2177
66818 "1415705_at"	317	307.6	300.2	342.8	305.5	350.7
12847 "1415706_at"	2017.4	2003.8	1904.8	1829.8	1951	1934.2
99152 "1415707_at"	833	827.1	768.5	703.3	792	835.5
544752 "1415708_at"	1440.2	1437.5	1475.6	1284.3	1429.7	1417.5
