Gene Probeset Intensity
54161 1415670_at 390.46
11972 1415671_at 986.46
57437 1415672_at 1569.6
100678 1415673_at 239.69
60409 1415674_a_at 734.71
13481 1415675_at 401.83
19173 1415676_a_at 2172.86
52585 1415677_at 552.09
19042 1415678_at 859.29
66340 1415679_at 1966.43
17222 1415680_at 264.91
94067 1415681_at 630.8
65246 1415682_at 177.51
18107 1415683_at 1207.69
11793 1415684_at 417.57
76784 1415685_at 387.43
68365 1415686_at 600.03
19156 1415687_a_at 3175.6
67128 1415688_at 967.57
72739 1415689_s_at 261.2
94064 1415690_at 1011.2
13383 1415691_at 625.34
12330 1415692_s_at 1698.77
67819 1415693_at 675.23
22375 1415694_at 267.86
26440 1415695_at 1608.8
20224 1415696_at 1202.2
23881 1415697_at 518.31
105348 1415698_at 194.51
209318 1415699_a_at 834.8
67437 1415700_a_at 1553.86
65019 1415701_x_at 8483.17
13016 1415702_a_at 745.14
59026 1415703_at 446.89
321022 1415704_a_at 939.51
66818 1415705_at 600.86
12847 1415706_at 1050.11
99152 1415707_at 449.91
544752 1415708_at 541.14
107338 1415709_s_at 276.6
231430 1415710_at 378.37
211673 1415711_at 570.26
NA 1415712_at 175.14
27225 1415713_a_at 444.89
66618 1415714_a_at 1013.83
68366 1415715_at 352.63
57294 1415716_a_at 5659.89
66743 1415717_at 378.37
50724 1415718_at 358.46
74252 1415719_s_at 476.54
66591 1415720_s_at 301.2
74763 1415721_a_at 382.57
66201 1415722_a_at 639.14
217869 1415723_at 1324.94
12540 1415724_a_at 2519.46
106298 1415725_at 276.6
81702 1415726_at 458.26
246703 1415727_at 1630.4
54196 1415728_at 190.6
18607 1415729_at 595.83
269061 1415730_at 335.97
52477 1415731_at 335.26
193742 1415732_at 402.6
68512 1415733_a_at 808.66
19349 1415734_at 1669.03
13194 1415735_at 667.37
56612 1415736_at 2099.09
54391 1415737_at 556.31
66073 1415738_at 859.29
68035 1415739_at 413.17
19184 1415740_at 1574.94
21982 1415741_at 766.71
11993 1415742_at 368.77
15184 1415743_at 293.54
