Node: 89593, name: Craniata, branched species: 
Node: 7742, name: Vertebrata, branched species: 7757
Node: 7776, name: Gnathostomata, branched species: 
Node: 117570, name: Teleostomi, branched species: 
Node: 117571, name: Euteleostomi, branched species: 7994 7955 328277 328276 8053 8049 481462 481459 69293 8153 7918 106582 32507 607699 158785 87885 8128 8090 303518 433684 47663 31033 99883 8083
Node: 8287, name: Sarcopterygii, branched species: 7897
Node: 1338369, name: Dipnotetrapodomorpha, branched species: 
Node: 32523, name: Tetrapoda, branched species: 8364
Node: 32524, name: Amniota, branched species: 8496 241585 8840 8839 28377 387431 387430 387429 387428 387427 227461 227460 55534 176014 673462 8469 8478 8932 495999 345166 345165 345164 495995 495993 495992 495991 495989 495987 495983 495982 335097 8954 59894 405000 400035 208526 208525 208524 9031 48883 165260 109974 109973 109972 9103 13146 34908 13735 181119 59729 44394
Node: 40674, name: Mammalia, branched species: 9258
Node: 32525, name: Theria, branched species: 9315 13616 9305
Node: 9347, name: Eutheria, branched species: 9358 185453 9361 9371 28737 691503 9785 1230840 9814 9813 127582
Node: 1437010, name: Boreoeutheria, branched species: 944575 9646 9913 419612 9615 9925 310713 73337 9807 143302 29078 1114792 9796 9365 9685 9713 9669 225400 384942 384941 384940 164660 59463 9708 9733 30528 9940 9938 59538 9402 132908 42254 1170810 490583 415978 375579 375578 310261 310260 309914 309913 291050 9825 9823 152705 9739 273913 273912 30538
Node: 314146, name: Euarchontoglires, branched species: 9483 60711 406788 183511 9595 9593 741158 63221 9606 1215360 90386 9541 1449913 9544 30608 61853 477174 30611 1294088 756884 91950 37012 37011 37010 9598 9562 9557 9601 495297 39432 27679 9478 37347 246437
Node: 314147, name: Glires, branched species: 9978 568996 230741 9986
Node: 9989, name: Rodentia, branched species: 10141 34839 10181 10160
Node: 33553, name: Sciurognathi, branched species: 1258737 10020 347513 51337 100392 43179
Node: 337687, name: Muroidea, branched species: 10029 10036 79684
Node: 10066, name: Muridae, branched species: 
Node: 39107, name: Murinae, branched species: 947987 10116
Node: 10088, name: Mus, branched species: 
Node: 862507, name: Mus, branched species: 
Node: 10090, name: Mus musculus, branched species: 1385377 1266728 947985 477816 477815 179238 116058 80274 57486 46456 39442 35531 10092 10091 10090
